Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Volume_MA20,Price_MA50,Volatility_20
2024-07-01 00:00:00-04:00,230.57676487827803,233.02083002601603,229.87294113540335,231.00990295410156,3064153,0.0,0.0,,,,
2024-07-02 00:00:00-04:00,229.31606309070148,232.96667258433106,229.31606309070148,230.6540985107422,2276490,0.0,0.0,-0.0015402129467586567,,,
2024-07-03 00:00:00-04:00,231.4430115637056,231.64409986424818,226.3460602418982,227.16590881347656,1581406,0.0,0.0,-0.015123033667243324,,,
2024-07-05 00:00:00-04:00,227.1659103354692,228.14043433542895,225.89747227561685,227.39019775390625,1836928,0.0,0.0,0.0009873353867275725,,,
2024-07-08 00:00:00-04:00,227.78464562332928,230.39885201283985,227.09628802975752,228.57354736328125,1902453,0.0,0.0,0.005204048464110489,,,
2024-07-09 00:00:00-04:00,228.93705676492382,229.58674916035432,226.24550536793924,226.40792846679688,1553856,0.0,0.0,-0.009474494846258286,,,
2024-07-10 00:00:00-04:00,226.4079347246815,227.12722448586965,223.87879171074326,226.82559204101562,1820051,0.0,0.0,0.0018447391707838712,,,
2024-07-11 00:00:00-04:00,228.15588538384867,232.75783407487936,227.91611725760077,231.67501831054688,2308260,0.0,0.0,0.02137953758169564,,,
2024-07-12 00:00:00-04:00,230.91706464834948,232.8119960279527,230.2364547062277,231.27285766601562,1794114,0.0,0.0,-0.0017358826491692403,,,
2024-07-15 00:00:00-04:00,232.38660126591168,236.3543238441526,231.30378544745875,235.91346740722656,2567257,0.0,0.0,0.020065518228310708,,,
2024-07-16 00:00:00-04:00,236.54770188868878,242.73518797090517,236.4935706123915,242.48770141601562,3490437,0.0,0.0,0.027867141630540493,,,
2024-07-17 00:00:00-04:00,240.0977783203125,242.60370780046054,238.29567258811446,240.0977783203125,1970832,0.0,0.0,-0.00985585281953305,,,
2024-07-18 00:00:00-04:00,238.97627452299952,242.20922656211627,236.3929856028826,237.1509552001953,1989323,0.0,0.0,-0.012273429353377274,,,
2024-07-19 00:00:00-04:00,237.15096198926813,238.78291145572624,235.14003503625764,236.91119384765625,1606599,0.0,0.0,-0.0010110073237388217,,,
2024-07-22 00:00:00-04:00,237.44488655205961,238.017219326623,233.11363767150246,237.7774658203125,1755022,0.0,0.0,0.0036565261378629366,,,
2024-07-23 00:00:00-04:00,231.25740104541154,235.19419195351017,230.29060998061755,232.64959716796875,2815084,0.0,0.0,-0.02156583103723908,,,
2024-07-24 00:00:00-04:00,232.6573114841253,232.6573114841253,229.385679418928,230.7005157470703,1912505,0.0,0.0,-0.008377755408238374,,,
2024-07-25 00:00:00-04:00,230.70827248394923,234.57545147504317,230.49171807632055,230.9403076171875,1566887,0.0,0.0,0.0010394076031459143,,,
2024-07-26 00:00:00-04:00,231.91479706124952,233.71690264097768,230.0740262880516,232.13909912109375,1490193,0.0,0.0,0.005190914986973105,,,
2024-07-29 00:00:00-04:00,232.27830523588213,233.5544762912494,230.53034559720686,231.43527221679688,1073341,0.0,0.0,-0.0030319188235056194,2018759.55,,
2024-07-30 00:00:00-04:00,231.99988428487322,234.35113822597162,231.49714887449485,232.71144104003906,1288779,0.0,0.0,0.00551415007322964,1929990.85,,0.012253531441406318
2024-07-31 00:00:00-04:00,232.84291614842243,236.36978217413755,232.71142520257376,233.7710418701172,1175723,0.0,0.0,0.004553282061863895,1874952.5,,0.012277487677041964
2024-08-01 00:00:00-04:00,234.52128833101915,236.57088046879258,229.1613697507077,230.3524627685547,1901957,0.0,0.0,-0.01462362093360503,1890980.05,,0.012243982933226724
2024-08-02 00:00:00-04:00,226.60128238602246,227.80784141680283,222.5407488761931,226.07534790039062,2795601,0.0,0.0,-0.01856769759158805,1938913.7,,0.012983946174921171
2024-08-05 00:00:00-04:00,220.12763802414142,223.66223716410232,216.252711954554,218.95201110839844,3330844,0.0,0.0,-0.03150868441936783,2010333.25,,0.01466462020071015
2024-08-06 00:00:00-04:00,220.27457683071606,224.06442476789164,218.54981632418097,220.99388122558594,1767805,0.0,0.0,0.009325651346388408,2021030.7,,0.014765573030160578
2024-08-07 00:00:00-04:00,223.52303272556983,223.52303272556983,214.28820202564353,215.11578369140625,2222631,0.0,0.0,-0.02659846282431433,2041159.7,,0.01579997262010471
2024-08-08 00:00:00-04:00,215.88147676747428,217.95428271317445,213.82413689971392,215.49476623535156,1952589,0.0,0.0,0.0017617607478257469,2023376.15,,0.014815952096142603
