Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Volume_MA20,Price_MA50,Volatility_20
2024-07-01 00:00:00-04:00,106.1500015258789,106.41000366210938,103.63999938964844,105.37000274658203,947200,0.0,0.0,,,,
2024-07-02 00:00:00-04:00,105.25,106.3499984741211,104.93000030517578,106.19000244140625,692000,0.0,0.0,0.007782098068236154,,,
2024-07-03 00:00:00-04:00,106.25,108.44999694824219,106.19999694824219,107.0999984741211,521500,0.0,0.0,0.008569507597638193,,,
2024-07-05 00:00:00-04:00,106.98999786376953,108.22000122070312,105.6500015258789,106.55999755859375,554700,0.0,0.0,-0.0050420254268988,,,
2024-07-08 00:00:00-04:00,106.72000122070312,107.11000061035156,102.04000091552734,103.91000366210938,1466700,0.0,0.0,-0.0248685619106479,,,
2024-07-09 00:00:00-04:00,101.37999725341797,103.44000244140625,100.68000030517578,101.1500015258789,1179800,0.0,0.0,-0.026561467028769825,,,
2024-07-10 00:00:00-04:00,101.69999694824219,102.20999908447266,100.41000366210938,101.97000122070312,835900,0.0,0.0,0.008106768981258172,,,
2024-07-11 00:00:00-04:00,103.08000183105469,105.93000030517578,102.45999908447266,104.88999938964844,1170400,0.0,0.0,0.02863585499646404,,,
2024-07-12 00:00:00-04:00,104.77999877929688,109.72000122070312,103.83000183105469,107.1500015258789,1664400,0.0,0.0,0.021546402415686394,,,
2024-07-15 00:00:00-04:00,107.8499984741211,114.12000274658203,107.43000030517578,113.55000305175781,2416800,0.0,0.0,0.05972936476658086,,,
2024-07-16 00:00:00-04:00,113.77999877929688,119.5999984741211,113.77999877929688,118.66999816894531,2382000,0.0,0.0,0.04509022439086796,,,
2024-07-17 00:00:00-04:00,116.93000030517578,117.4800033569336,113.4800033569336,114.12000274658203,2010000,0.0,0.0,-0.038341581634522726,,,
2024-07-18 00:00:00-04:00,113.83000183105469,115.70999908447266,109.68000030517578,110.9800033569336,2229300,0.0,0.0,-0.0275148905895245,,,
2024-07-19 00:00:00-04:00,111.54000091552734,113.0,110.18000030517578,112.9000015258789,1087600,0.0,0.0,0.017300397466832207,,,
2024-07-22 00:00:00-04:00,112.9800033569336,114.80999755859375,109.83000183105469,113.31999969482422,2111400,0.0,0.0,0.003720090020096656,,,
2024-07-23 00:00:00-04:00,112.73999786376953,114.05000305175781,111.23999786376953,111.41000366210938,1316700,0.0,0.0,-0.01685488914453359,,,
2024-07-24 00:00:00-04:00,111.0999984741211,113.25,105.0199966430664,110.0,2475300,0.0,0.0,-0.012655987934312551,,,
2024-07-25 00:00:00-04:00,108.91999816894531,119.2300033569336,108.77999877929688,114.9000015258789,2619000,0.0,0.0,0.04454546841708096,,,
