Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Volume_MA20,Price_MA50,Volatility_20
2024-07-01 00:00:00-04:00,19.030000686645508,19.440000534057617,18.889999389648438,19.09000015258789,681600,0.0,0.0,,,,
2024-07-02 00:00:00-04:00,19.110000610351562,19.360000610351562,18.760000228881836,19.34000015258789,542400,0.0,0.0,0.013095861603024117,,,
2024-07-03 00:00:00-04:00,19.600000381469727,20.510000228881836,19.399999618530273,19.450000762939453,319700,0.0,0.0,0.005687725412806932,,,
2024-07-05 00:00:00-04:00,19.469999313354492,19.469999313354492,18.360000610351562,18.790000915527344,609500,0.0,0.0,-0.03393315277754083,,,
2024-07-08 00:00:00-04:00,18.790000915527344,19.479999542236328,18.729999542236328,19.329999923706055,800200,0.0,0.0,0.0287386366081801,,,
2024-07-09 00:00:00-04:00,18.90999984741211,19.200000762939453,17.520000457763672,18.649999618530273,921800,0.0,0.0,-0.035178494974634655,,,
2024-07-10 00:00:00-04:00,18.81999969482422,19.520000457763672,18.719999313354492,19.360000610351562,549400,0.0,0.0,0.038069759053284136,,,
2024-07-11 00:00:00-04:00,19.799999237060547,21.479999542236328,19.399999618530273,21.43000030517578,741700,0.0,0.0,0.10692146846924233,,,
2024-07-12 00:00:00-04:00,21.93000030517578,23.979999542236328,21.920000076293945,23.6200008392334,1305400,0.0,0.0,0.10219321058659459,,,
2024-07-15 00:00:00-04:00,23.829999923706055,25.010000228881836,22.90999984741211,24.84000015258789,946300,0.0,0.0,0.051651112193359605,,,
2024-07-16 00:00:00-04:00,25.06999969482422,25.75,24.510000228881836,25.200000762939453,993000,0.0,0.0,0.014492778105480664,,,
2024-07-17 00:00:00-04:00,25.229999542236328,25.5,24.190000534057617,24.969999313354492,598300,0.0,0.0,-0.009127041373872213,,,
2024-07-18 00:00:00-04:00,24.850000381469727,25.600000381469727,23.940000534057617,24.5,622000,0.0,0.0,-0.018822560123304743,,,
2024-07-19 00:00:00-04:00,24.489999771118164,25.5,23.809999465942383,25.260000228881836,484300,0.0,0.0,0.03102041750538098,,,
2024-07-22 00:00:00-04:00,25.459999084472656,25.829999923706055,24.06999969482422,25.049999237060547,663700,0.0,0.0,-0.008313578381570097,,,
2024-07-23 00:00:00-04:00,24.93000030517578,25.270000457763672,24.450000762939453,25.149999618530273,484800,0.0,0.0,0.003992031317980205,,,
2024-07-24 00:00:00-04:00,25.1299991607666,25.760000228881836,24.549999237060547,25.299999237060547,535900,0.0,0.0,0.0059641996344108605,,,
2024-07-25 00:00:00-04:00,25.559999465942383,28.40999984741211,25.18000030517578,27.670000076293945,1261100,0.0,0.0,0.09367592532420788,,,
2024-07-26 00:00:00-04:00,28.049999237060547,28.049999237060547,24.940000534057617,26.0,627200,0.0,0.0,-0.06035417678674693,,,
2024-07-29 00:00:00-04:00,26.0,26.0,23.690000534057617,24.09000015258789,700500,0.0,0.0,-0.07346153259277344,719440.0,,
2024-07-30 00:00:00-04:00,24.229999542236328,25.290000915527344,23.780000686645508,24.959999084472656,889900,0.0,0.0,0.03611452579386154,729855.0,,0.049196194618640374
2024-07-31 00:00:00-04:00,25.1299991607666,26.149999618530273,23.84000015258789,25.360000610351562,622800,0.0,0.0,0.016025702746429227,733875.0,,0.04919577516836137
2024-08-01 00:00:00-04:00,25.31999969482422,25.350000381469727,22.829999923706055,23.979999542236328,875400,0.0,0.0,-0.05441644459393025,761660.0,,0.0515586807848554
2024-08-02 00:00:00-04:00,23.15999984741211,23.549999237060547,21.889999389648438,21.969999313354492,682300,0.0,0.0,-0.08381986101966321,765300.0,,0.05497900483997877
2024-08-05 00:00:00-04:00,20.15999984741211,21.979999542236328,19.469999313354492,21.510000228881836,879900,0.0,0.0,-0.020937601222092206,769285.0,,0.05517486312977511
2024-08-06 00:00:00-04:00,21.459999084472656,21.549999237060547,20.469999313354492,21.3700008392334,933800,0.0,0.0,-0.006508572206357255,769885.0,,0.05439415601541314
2024-08-07 00:00:00-04:00,21.889999389648438,22.600000381469727,21.43000030517578,22.5,1068700,0.0,0.0,0.052877824819361985,795850.0,,0.05492011845421852
2024-08-08 00:00:00-04:00,27.059999465942383,28.399999618530273,25.790000915527344,27.239999771118164,1687000,0.0,0.0,0.21066665649414062,843115.0,,0.06800134493404748
2024-08-09 00:00:00-04:00,27.6299991607666,28.1299991607666,25.90999984741211,26.0,900800,0.0,0.0,-0.045521284197399425,822885.0,,0.06592510387447864
2024-08-12 00:00:00-04:00,25.329999923706055,25.559999465942383,23.989999771118164,24.760000228881836,649800,0.0,0.0,-0.047692298889160156,808060.0,,0.06610702552117452
2024-08-13 00:00:00-04:00,24.93000030517578,25.760000228881836,24.299999237060547,25.459999084472656,603300,0.0,0.0,0.028271359011309283,788575.0,,0.06631780385170032
2024-08-14 00:00:00-04:00,25.65999984741211,25.65999984741211,24.65999984741211,25.1299991607666,664100,0.0,0.0,-0.01296150571770105,791865.0,,0.06635866083912077
2024-08-15 00:00:00-04:00,25.93000030517578,27.989999771118164,25.899999618530273,27.489999771118164,1217600,0.0,0.0,0.09391168679528006,821645.0,,0.06919815824633245
2024-08-16 00:00:00-04:00,27.40999984741211,28.979999542236328,27.40999984741211,28.549999237060547,1232300,0.0,0.0,0.03855945706685859,859045.0,,0.06935094639323364
2024-08-19 00:00:00-04:00,28.940000534057617,31.579999923706055,28.8700008392334,31.06999969482422,1139700,0.0,0.0,0.08826621804222246,882845.0,,0.07146328590029256
