Price,Close,High,Low,Open,Volume
Ticker,NSC,NSC,NSC,NSC,NSC
Date,,,,,
2024-07-01,205.50685119628906,207.71495355216814,203.68277492135687,206.31328399263188,749300
2024-07-02,206.9373016357422,206.96610175799768,205.18042093267863,205.52603704884024,1051100
2024-07-03,207.65733337402344,208.74217215698394,206.12125849584274,206.6204850286158,410000
2024-07-05,207.23495483398438,208.47340429026153,205.48766893309707,207.8781821104026,945700
2024-07-08,205.6892547607422,206.43808728175904,203.36595198411337,204.6236062271264,1120400
2024-07-09,205.209228515625,205.8044505960063,202.46350445104272,204.2491853412829,1288300
2024-07-10,206.24607849121094,206.98531584289813,204.74841347155112,205.68925168790986,1035000
2024-07-11,212.11195373535156,212.34235473529807,206.49569497610082,207.51333845679034,1200900
2024-07-12,212.50558471679688,214.5696718977852,212.09275849114053,212.76478585361826,942800
2024-07-15,218.65945434570312,219.89791839266923,212.46717805816678,213.30241103233132,1058400
2024-07-16,225.40855407714844,226.33979722576638,219.13947266372952,219.13947266372952,1133400
2024-07-17,225.08213806152344,226.81021884924192,223.63247802107216,224.60211643432928,1056900
2024-07-18,221.1747589111328,225.07253199112964,220.9923483577867,223.99728828605376,991400
2024-07-19,218.84185791015625,222.6724357863824,217.34419277030773,222.6724357863824,1205000
2024-07-22,218.9186553955078,221.27075836662345,216.23053143604835,220.04190421071576,897800
2024-07-23,215.31851196289062,218.40025742741116,214.96330062661474,217.76662532829877,840000
2024-07-24,212.4959716796875,215.6065171161589,211.32471773041047,215.29929624135292,1539900
2024-07-25,213.99363708496094,220.36832375405376,211.71833924338233,214.20484777437557,2155100
2024-07-26,237.34188842773438,239.94359737682973,230.9864069345805,232.3304615965747,2993300
2024-07-29,237.73550415039062,240.08760707884193,235.66180730649938,237.59148887981394,2284700
2024-07-30,239.73239135742188,241.0764459634296,234.8073651063069,237.80269517060785,1227900
2024-07-31,239.58837890625,242.5261087575593,237.0730704072512,239.07955718162958,918300
2024-08-01,236.61224365234375,241.28764915369746,234.90335335042488,240.34681095867165,959200
2024-08-02,234.97119140625,235.93652227955474,229.11162593499586,235.93652227955474,1255000
2024-08-05,231.3705291748047,233.4363516747269,226.3025413773799,233.38808217831877,1630500
2024-08-06,235.3959197998047,238.21468394820846,231.5925141180571,231.88211630195573,940800
2024-08-07,231.66012573242188,238.4946708760515,231.3222687254295,235.3959666618566,909900
2024-08-08,233.63900756835938,234.90358853373763,231.23532862278736,232.09447242802915,625200
2024-08-09,231.31256103515625,233.46525931950362,229.40121018001688,233.22392662007462,710900
2024-08-12,228.95718383789062,232.5482160904718,228.04978513301782,231.81456988341048,719700
2024-08-13,231.0712432861328,231.23534776478866,227.00720861348034,229.67151648483764,705900
