Price,Close,High,Low,Open,Volume
Ticker,ODFL,ODFL,ODFL,ODFL,ODFL
Date,,,,,
2024-07-01,176.5049591064453,178.3717429378839,173.49242036487516,173.99616549281492,1863000
2024-07-02,179.93234252929688,180.4459594135786,176.10988386973924,176.8605431072585,2515200
2024-07-03,179.6360321044922,181.94730064571135,179.03352431229553,180.6138770669834,919800
2024-07-05,180.5249786376953,181.42378934639922,178.6483079359983,179.8138214349369,1195400
2024-07-08,178.8359832763672,180.85093378416906,175.80370084471582,179.93234941613446,1595900
2024-07-09,176.21849060058594,179.2705307297688,175.24064591637156,179.0927490079243,1188700
2024-07-10,179.88294982910156,180.08050521438182,175.65552381149448,176.83090902565644,1375400
2024-07-11,184.46597290039062,185.39442904722563,180.39658475522748,180.9200734216155,1569900
2024-07-12,187.88345336914062,191.19231001669127,185.15736097140933,185.15736097140933,1876600
2024-07-15,192.8516845703125,195.3407348600358,187.666171925016,188.0217505378336,2008800
2024-07-16,201.33615112304688,201.61271056945375,193.3652858795357,193.3652858795357,2009600
2024-07-17,196.23951721191406,201.8398833215475,196.2296454720884,199.5780039787192,2325100
2024-07-18,193.05908203125,197.5828105331703,191.50835982525047,196.23951543249646,1581400
2024-07-19,193.06898498535156,194.9555275036861,191.23183131639934,193.3257859022345,1228300
2024-07-22,192.91094970703125,196.84205802317953,190.5108053174669,195.16294261749698,1341200
2024-07-23,191.4688720703125,193.74060823038286,190.29348688566978,191.4688720703125,1826000
2024-07-24,192.2294158935547,198.09645539805302,180.61387313496357,194.7184661530244,3328700
2024-07-25,203.1732940673828,207.9340951369951,192.2590230280635,192.2590230280635,3154100
2024-07-26,200.43734741210938,204.42773141394667,196.97046713923962,197.54334464728007,2484000
2024-07-29,199.02490234375,204.2598035338129,198.02731396612842,201.10898505055135,1270500
2024-07-30,202.51150512695312,205.44502422666747,200.79287305629146,200.79287305629146,1209900
2024-07-31,207.5982666015625,211.59852182363264,203.08440960172152,203.65728703510513,1643600
2024-08-01,200.70401000976562,213.8801458303395,200.08175880058744,208.12177131788889,2034300
2024-08-02,192.72325134277344,197.54331300287845,188.75264160279386,196.9210467440846,2107000
