Price,Close,High,Low,Open,Volume
Ticker,EXPD,EXPD,EXPD,EXPD,EXPD
Date,,,,,
2024-07-01,118.08998107910156,122.37901006131949,117.98251049334885,121.89051010932276,1119000
2024-07-02,118.43192291259766,118.80318017188326,117.36698920093313,118.40261410974844,973200
2024-07-03,121.00143432617188,121.67556663240813,118.41238313886086,119.29168452657824,881700
2024-07-05,120.61063385009766,121.06982499258986,119.85834721195684,119.91696482030304,791300
2024-07-08,117.15206146240234,120.8842007782801,116.51701003729357,120.75718602090774,967300
2024-07-09,115.92103576660156,117.9336531083449,115.7451754922995,117.57216047396915,1106000
2024-07-10,117.79686737060547,119.00834505384348,116.80033083924712,119.00834505384348,794000
2024-07-11,119.95603942871094,120.18075267213308,117.75778978383384,118.64686321808664,1180400
2024-07-12,117.13250732421875,121.06005075807147,116.39975746234204,120.58131548149174,2130400
2024-07-15,116.29229736328125,117.96296630440385,115.65724593499169,117.12274579077479,2007300
2024-07-16,118.80319213867188,119.83881715180345,116.21414078672004,116.81011135107597,2312900
2024-07-17,118.0313491821289,119.24283435975603,117.41584196166154,117.49400373839568,1676000
2024-07-18,117.5233154296875,120.27845476898457,117.46469782265486,118.95950643332743,1242400
2024-07-19,117.43537902832031,118.61755540666907,116.6049306463217,118.138820113186,3151700
2024-07-22,120.14167022705078,120.21983200235142,117.5135383004246,118.61755287827401,1251900
2024-07-23,121.02098083496094,121.48016452871346,118.84226776854175,119.51640008779533,1060600
2024-07-24,121.17728424072266,121.76348263109713,119.46753458734557,120.60085793546423,1024200
2024-07-25,121.97843170166016,124.33300495510152,121.01120392203282,121.41176999080074,1070700
2024-07-26,121.32384490966797,123.08244766817748,121.03074196527722,121.57786696454545,912900
2024-07-29,121.60717010498047,122.37900086560913,120.5910893867067,121.31406717423947,570200
2024-07-30,122.08590698242188,123.2778480566893,121.30431153238523,121.91004670172802,507700
2024-07-31,121.94912719726562,123.4341637652669,121.41177427079803,123.062906486746,1282900
2024-08-01,123.5709457397461,126.1697614948259,123.02382074874188,124.03990149898698,1161100
2024-08-02,120.29798889160156,122.76980477430672,118.8618053728607,122.24222396064143,937700
2024-08-05,118.50031280517578,119.94626841025362,116.7124012891634,118.67617307648713,1282800
2024-08-06,113.42967987060547,114.9538046888279,108.97456298791813,110.26420247784958,2578000
2024-08-07,114.2406005859375,115.97965924546365,112.98026979861491,114.29921819570019,1633600
2024-08-08,116.3802261352539,116.5853952116106,113.95726320005197,115.05150572787178,1206600
2024-08-09,116.34114837646484,116.84918503817134,115.58885428899929,116.41931015639433,966900
2024-08-12,116.37045288085938,116.8003352006709,114.79748252400431,116.50723226372352,1158800
2024-08-13,116.54631042480469,116.63423683148083,115.29575183707408,115.88195024333316,1099800
2024-08-14,116.58539581298828,117.2399839343482,116.03827081929747,116.63424133394379,748200
2024-08-15,116.69287109375,118.46123853738429,116.52677544484382,117.89457680327551,887700
2024-08-16,117.2986068725586,117.63079071817485,116.13598204769615,116.8784966128755,994900
2024-08-19,118.51008605957031,118.5589315802446,117.43538024989226,117.59170380545176,788400
2024-08-20,117.18135833740234,118.37329928542026,116.67331426746836,118.37329928542026,803700
2024-08-21,119.45777130126953,119.49685219069539,117.29860247443438,117.9531980549205,1011200
2024-08-22,120.17098236083984,120.23937205264461,119.1255928124429,119.51639424586325,733100
2024-08-23,120.21984100341797,121.37270118670905,119.94627476938334,120.49339978353488,434700
2024-08-26,119.91695404052734,120.67901269619415,119.18420418639896,120.67901269619415,637500
